year_census,date_census_start,date_census_end,state_abb,state_name,state_region,state_division,population,median_household_income,census_current_flag
2013,2013-01-01,2013-12-31,ND,North Dakota,North Central,West North Central,689781,53741,FALSE
2013,2013-01-01,2013-12-31,OH,Ohio,North Central,East North Central,11549590,48308,FALSE
2013,2013-01-01,2013-12-31,OK,Oklahoma,South,West South Central,3785742,45339,FALSE
2013,2013-01-01,2013-12-31,OR,Oregon,West,Pacific,3868721,50229,FALSE
2013,2013-01-01,2013-12-31,PA,Pennsylvania,Northeast,Middle Atlantic,12731381,52548,FALSE
2013,2013-01-01,2013-12-31,RI,Rhode Island,Northeast,New England,1051695,56361,FALSE
2013,2013-01-01,2013-12-31,SC,South Carolina,South,South Atlantic,4679602,44779,FALSE
2013,2013-01-01,2013-12-31,SD,South Dakota,North Central,West North Central,825198,49495,FALSE
2013,2013-01-01,2013-12-31,TN,Tennessee,South,East South Central,6402387,44298,FALSE
2013,2013-01-01,2013-12-31,TX,Texas,South,West South Central,25639373,51900,FALSE
2013,2013-01-01,2013-12-31,UT,Utah,West,Mountain,2813673,58821,FALSE
2013,2013-01-01,2013-12-31,VT,Vermont,Northeast,New England,625904,54267,FALSE
2013,2013-01-01,2013-12-31,VA,Virginia,South,South Atlantic,8100653,63907,FALSE
2013,2013-01-01,2013-12-31,WA,Washington,West,Pacific,6819579,59478,FALSE
2013,2013-01-01,2013-12-31,WV,West Virginia,South,South Atlantic,1853619,41043,FALSE
2013,2013-01-01,2013-12-31,WI,Wisconsin,North Central,East North Central,5706871,52413,FALSE
2013,2013-01-01,2013-12-31,WY,Wyoming,West,Mountain,570134,57406,FALSE
2013,2013-01-01,2013-12-31,DC,Puerto Rico,Northeast,South Atlantic,3682966,19624,FALSE
2014,2014-01-01,2014-12-31,AL,Alabama,South,East South Central,4817678,43511,FALSE
2014,2014-01-01,2014-12-31,AK,Alaska,West,Pacific,728300,71829,FALSE
2014,2014-01-01,2014-12-31,AZ,Arizona,West,Mountain,6561516,49928,FALSE
2014,2014-01-01,2014-12-31,AR,Arkansas,South,West South Central,2947036,41264,FALSE
2014,2014-01-01,2014-12-31,CA,California,West,Pacific,38066920,61489,FALSE
2014,2014-01-01,2014-12-31,CO,Colorado,West,Mountain,5197580,59448,FALSE
2014,2014-01-01,2014-12-31,CT,Connecticut,Northeast,New England,3592053,69899,FALSE
2014,2014-01-01,2014-12-31,DE,Delaware,South,South Atlantic,917060,60231,FALSE
2014,2014-01-01,2014-12-31,DC,District of Columbia,Northeast,South Atlantic,633736,69235,FALSE
2014,2014-01-01,2014-12-31,FL,Florida,South,South Atlantic,19361792,47212,FALSE
2014,2014-01-01,2014-12-31,GA,Georgia,South,South Atlantic,9907756,49342,FALSE
2014,2014-01-01,2014-12-31,HI,Hawaii,West,Pacific,1392704,68201,FALSE
2014,2014-01-01,2014-12-31,ID,Idaho,West,Mountain,1599464,47334,FALSE
2014,2014-01-01,2014-12-31,IL,Illinois,North Central,East North Central,12868747,57166,FALSE
2014,2014-01-01,2014-12-31,IN,Indiana,North Central,East North Central,6542411,48737,FALSE
2014,2014-01-01,2014-12-31,IA,Iowa,North Central,West North Central,3078116,52716,FALSE
2014,2014-01-01,2014-12-31,KS,Kansas,North Central,West North Central,2882946,51872,FALSE
2014,2014-01-01,2014-12-31,KY,Kentucky,South,East South Central,4383272,43342,FALSE
2014,2014-01-01,2014-12-31,LA,Louisiana,South,West South Central,4601049,44991,FALSE
2014,2014-01-01,2014-12-31,ME,Maine,Northeast,New England,1328535,48804,FALSE
2014,2014-01-01,2014-12-31,MD,Maryland,South,South Atlantic,5887776,74149,FALSE
2014,2014-01-01,2014-12-31,MA,Massachusetts,Northeast,New England,6657291,67846,FALSE
2014,2014-01-01,2014-12-31,MI,Michigan,North Central,East North Central,9889024,49087,FALSE
2014,2014-01-01,2014-12-31,MN,Minnesota,North Central,West North Central,5383661,60828,FALSE
2014,2014-01-01,2014-12-31,MS,Mississippi,South,East South Central,2984345,39464,FALSE
2014,2014-01-01,2014-12-31,MO,Missouri,North Central,West North Central,6028076,47764,FALSE
2014,2014-01-01,2014-12-31,MT,Montana,West,Mountain,1006370,46766,FALSE
2014,2014-01-01,2014-12-31,NE,Nebraska,North Central,West North Central,1855617,52400,FALSE
2014,2014-01-01,2014-12-31,NV,Nevada,West,Mountain,2761584,52205,FALSE
2014,2014-01-01,2014-12-31,NH,New Hampshire,Northeast,New England,1321069,65986,FALSE
2014,2014-01-01,2014-12-31,NJ,New Jersey,Northeast,Middle Atlantic,8874374,72062,FALSE
2014,2014-01-01,2014-12-31,NM,New Mexico,West,Mountain,2080085,44968,FALSE
2014,2014-01-01,2014-12-31,NY,New York,Northeast,Middle Atlantic,19594330,58687,FALSE
2014,2014-01-01,2014-12-31,NC,North Carolina,South,South Atlantic,9750405,46693,FALSE
2014,2014-01-01,2014-12-31,ND,North Dakota,North Central,West North Central,704925,55579,FALSE
2014,2014-01-01,2014-12-31,OH,Ohio,North Central,East North Central,11560380,48849,FALSE
2014,2014-01-01,2014-12-31,OK,Oklahoma,South,West South Central,3818851,46235,FALSE
2014,2014-01-01,2014-12-31,OR,Oregon,West,Pacific,3900343,50521,FALSE
2014,2014-01-01,2014-12-31,PA,Pennsylvania,Northeast,Middle Atlantic,12758729,53115,FALSE
2014,2014-01-01,2014-12-31,RI,Rhode Island,Northeast,New England,1053252,56423,FALSE
2014,2014-01-01,2014-12-31,SC,South Carolina,South,South Atlantic,4727273,45033,FALSE
2014,2014-01-01,2014-12-31,SD,South Dakota,North Central,West North Central,834708,50338,FALSE
2014,2014-01-01,2014-12-31,TN,Tennessee,South,East South Central,6451365,44621,FALSE
2014,2014-01-01,2014-12-31,TX,Texas,South,West South Central,26092033,52576,FALSE
2014,2014-01-01,2014-12-31,UT,Utah,West,Mountain,2858111,59846,FALSE
2014,2014-01-01,2014-12-31,VT,Vermont,Northeast,New England,626358,54447,FALSE
2014,2014-01-01,2014-12-31,VA,Virginia,South,South Atlantic,8185131,64792,FALSE
2014,2014-01-01,2014-12-31,WA,Washington,West,Pacific,6899123,60294,FALSE
2014,2014-01-01,2014-12-31,WV,West Virginia,South,South Atlantic,1853881,41576,FALSE
2014,2014-01-01,2014-12-31,WI,Wisconsin,North Central,East North Central,5724692,52738,FALSE
2014,2014-01-01,2014-12-31,WY,Wyoming,West,Mountain,575251,58252,FALSE
2014,2014-01-01,2014-12-31,DC,Puerto Rico,Northeast,South Atlantic,3638965,19686,FALSE
2015,2015-01-01,2015-12-31,AL,Alabama,South,East South Central,4830620,43623,FALSE
2015,2015-01-01,2015-12-31,AK,Alaska,West,Pacific,733375,72515,FALSE
2015,2015-01-01,2015-12-31,AZ,Arizona,West,Mountain,6641928,50255,FALSE
2015,2015-01-01,2015-12-31,AR,Arkansas,South,West South Central,2958208,41371,FALSE
2015,2015-01-01,2015-12-31,CA,California,West,Pacific,38421464,61818,FALSE
2015,2015-01-01,2015-12-31,CO,Colorado,West,Mountain,5278906,60629,FALSE
2015,2015-01-01,2015-12-31,CT,Connecticut,Northeast,New England,3593222,70331,FALSE
2015,2015-01-01,2015-12-31,DE,Delaware,South,South Atlantic,926454,60509,FALSE
2015,2015-01-01,2015-12-31,DC,District of Columbia,Northeast,South Atlantic,647484,70848,FALSE
2015,2015-01-01,2015-12-31,FL,Florida,South,South Atlantic,19645772,47507,FALSE
2015,2015-01-01,2015-12-31,GA,Georgia,South,South Atlantic,10006693,49620,FALSE
2015,2015-01-01,2015-12-31,HI,Hawaii,West,Pacific,1406299,69515,FALSE
2015,2015-01-01,2015-12-31,ID,Idaho,West,Mountain,1616547,47583,FALSE
2015,2015-01-01,2015-12-31,IL,Illinois,North Central,East North Central,12873761,57574,FALSE
2015,2015-01-01,2015-12-31,IN,Indiana,North Central,East North Central,6568645,49255,FALSE
2015,2015-01-01,2015-12-31,IA,Iowa,North Central,West North Central,3093526,53183,FALSE
2015,2015-01-01,2015-12-31,KS,Kansas,North Central,West North Central,2892987,52205,FALSE
2015,2015-01-01,2015-12-31,KY,Kentucky,South,East South Central,4397353,43740,FALSE
2015,2015-01-01,2015-12-31,LA,Louisiana,South,West South Central,4625253,45047,FALSE
